Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY27,182270988.00000003,2.9,3.75
Baseline,expenditure,FY27,182710195.20000002,2.9,4
Baseline,expenditure,FY27,183149402.4,2.9,4.25
Baseline,expenditure,FY27,183588609.6,2.9,4.5
Baseline,expenditure,FY27,184027816.8,2.9,4.75
Baseline,expenditure,FY27,184467024,2.9,5
Baseline,expenditure,FY27,184906231.2,2.9,5.25
Baseline,expenditure,FY27,179196537.6,3,2
Baseline,expenditure,FY27,179635744.79999998,3,2.25
Baseline,expenditure,FY27,180074951.99999997,3,2.5
Baseline,expenditure,FY27,180514159.20000002,3,2.75
Baseline,expenditure,FY27,180953366.4,3,3
Baseline,expenditure,FY27,181392573.6,3,3.25
Baseline,expenditure,FY27,181831780.79999998,3,3.5
Baseline,expenditure,FY27,182270988.00000003,3,3.75
Baseline,expenditure,FY27,182710195.20000002,3,4
Baseline,expenditure,FY27,183149402.4,3,4.25
Baseline,expenditure,FY27,183588609.6,3,4.5
Baseline,expenditure,FY27,184027816.8,3,4.75
Baseline,expenditure,FY27,184467024,3,5
Baseline,expenditure,FY27,184906231.2,3,5.25
Baseline,expenditure,FY28,182780468.352,2,2
Baseline,expenditure,FY28,183677549.05799997,2,2.25
Baseline,expenditure,FY28,184576825.79999995,2,2.5
Baseline,expenditure,FY28,185478298.57800004,2,2.75
Baseline,expenditure,FY28,186381967.39200002,2,3
Baseline,expenditure,FY28,187287832.24199998,2,3.25
Baseline,expenditure,FY28,188195893.12799996,2,3.5
Baseline,expenditure,FY28,189106150.05000004,2,3.75
Baseline,expenditure,FY28,190018603.00800002,2,4
Baseline,expenditure,FY28,190933252.002,2,4.25
Baseline,expenditure,FY28,191850097.03199998,2,4.5
Baseline,expenditure,FY28,192769138.09800002,2,4.75
Baseline,expenditure,FY28,193690375.20000002,2,5
Baseline,expenditure,FY28,194613808.338,2,5.25
Baseline,expenditure,FY28,182780468.352,2.1,2
